何もない,can,neither,neutral
よくわからない,should,unknown,tongue
嬉しい,must,positive,hearts
人と話すのは苦手,can,both,tongue
CSS,must,positive,hearts
管が生き物っぽい,should,both,thinking
監視されてる,can,both,frowning
贅沢,must,positive,happy
初めてのインディーズ展覧会,must,positive,hearts
誰もうまくできない,must,both,hearts
こんなアートがもっとみたい,must,positive,happy
paperC,should,positive,happy
子供はすぐに気がついた,must,positive,frowning
大人はかしこまって集中してる,should,both,thinking
湯楽の松の木,must,positive,frowning
例えば、さっきまでそこにいた知らない誰かのことを思い出してみよう,must,unknown,thinking
初めての卓球,should,unknown,frowning
誰か来ますか？,must,unknown,thinking
アート手袋,must,neither,hearts
不安,should,negative,neutral
気負わない,should,positive,happy
ぐっ💓,should,positive,hearts
"アートの街 北加賀屋",should,positive,happy
お互いにお互いを否定したり誰かを傷つけたりする言葉は避けて話そう,must,positive,happy
恥ずかしくない,should,both,tongue
窓の中,could,both,happy
考えること,must,unknown,thinking
ほこりを拭いた,must,neither,relieved
騒ぎ立てたくない,must,both,relieved
作者のアイデアを業者が形にするタイプの作品ではない,should,both,tongue
作者が作ったツールにお客さんが参加することで作品が完成する,should,both,relieved
本当に思っていること,must,neither,neutral
閉めてると開けないといけない,can,unknown,thinking
わくわくを持たせるかどうか,can,unknown,thinking
不気味,must,unknown,tongue
二人組,should,neither,thinking
カメラ小僧,can,unknown,thinking
意味はわからなくても雰囲気はわかる,must,both,happy
優しい気持ち,must,both,thinking
デジタルアート,should,neither,thinking
へえ、おもしろいね~,should,positive,relieved
ふらっとフラット,must,positive,hearts
なんか,should,negative,dizzy
迷子のまま辿り着きました,must,both,happy
宗教団体,can,unknown,tongue
トリップ効果,can,unknown,thinking
言葉からは逃げられないのか,can,unknown,steam
自分の欲望を満たすため？,must,unknown,dizzy
自分で作る,must,positive,happy
自然にあるものの魅力を引き立てる装置,must,both,thinking
エラーがある,can,both,tongue
無心,cant,unknown,hearts
お金につなげる,can,unknown,thinking
さんきゅー,should,positive,relieved
ウッキッキーありがとう,must,positive,hearts
それぐらいがいいね,can,both,happy
"bad dream",may,unknown,relieved
沈殿物を攪拌する,may,positive,frowning
旅の途中,may,both,hearts
HTMLを額に入れて展示,must,positive,happy
忙しい人には伝わらない,must,both,crying
NIKKI,should,neither,relieved
面白い,must,positive,happy
爽やか,should,positive,relieved
こういうのに共感する人がいる,can,neither,relieved
いいね！,should,positive,happy
またきます！,must,positive,hearts
